# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, N(k,omega)

0.145 3.05 1.21143e-05
0.145 3.1 0.000186242
0.145 3.15 0.000204089
0.145 3.2 0.00051311
0.145 3.25 0.000473078
0.145 3.3 0.000263283
0.145 3.35 9.39968e-06
0.145 3.4 0.000402859
0.145 3.45 5.09119e-05
0.145 3.5 0.000265625
0.145 3.55 1.5865e-05
0.145 3.6 0.000244665
0.145 3.65 0.000345047
0.145 3.7 0.000267413
0.145 3.75 0.000299429
0.145 3.8 8.94822e-05
0.145 3.85 4.75174e-05
0.145 3.9 0.000302572
0.145 3.95 0.000195974
0.145 4 5.72486e-06
0.145 4.05 3.56556e-05
0.145 4.1 7.12375e-06
0.145 4.15 9.75131e-06
0.145 4.2 1.68445e-05
0.145 4.25 2.55274e-05
0.145 4.3 7.80133e-06
0.145 4.35 1.4204e-05
0.145 4.4 3.49646e-06
0.145 4.45 2.22131e-06
0.145 4.5 1.00732e-05
0.145 4.55 5.57339e-06
0.145 4.6 1.42586e-05
0.145 4.65 3.75144e-06
0.145 4.7 2.61685e-07
0.145 4.75 1.57493e-05
0.145 4.8 2.23495e-05
0.145 4.85 1.57104e-05
0.145 4.9 1.02568e-05
0.145 4.95 3.12949e-06
0.145 5 1.14108e-05
0.15 0 0.000156418
0.15 0.05 0.000182012
0.15 0.1 0.000214688
0.15 0.15 0.000253599
0.15 0.2 0.000301615
0.15 0.25 0.000361152
0.15 0.3 0.000438618
0.15 0.35 0.000543961
0.15 0.4 0.000692066
0.15 0.45 0.000910277
0.15 0.5 0.00125196
0.15 0.55 0.00180903
0.15 0.6 0.00275176
0.15 0.65 0.00423925
0.15 0.7 0.00599606
0.15 0.75 0.00734557
0.15 0.8 0.00790156
0.15 0.85 0.00744188
0.15 0.9 0.00565405
0.15 0.95 0.00360814
0.15 1 0.00232958
0.15 1.05 0.00150009
0.15 1.1 0.00108636
0.15 1.15 0.000857531
0.15 1.2 0.000588754
0.15 1.25 0.000404618
0.15 1.3 0.000446005
0.15 1.35 0.000387571
0.15 1.4 0.000346262
0.15 1.45 0.000286184
0.15 1.5 0.000246833
0.15 1.55 0.000220789
0.15 1.6 0.000118692
0.15 1.65 9.56543e-05
0.15 1.7 0.000105983
0.15 1.75 0.000216702
0.15 1.8 0.000125396
0.15 1.85 1.61387e-05
0.15 1.9 0.000147941
0.15 1.95 0.000133796
0.15 2 0.000242149
0.15 2.05 4.6015e-05
0.15 2.1 0.000159849
0.15 2.15 0.00021505
0.15 2.2 3.91869e-05
0.15 2.25 9.87786e-05
0.15 2.3 9.02359e-05
0.15 2.35 0.000168935
0.15 2.4 0.000190668
0.15 2.45 0.000110096
0.15 2.5 0.000112997
0.15 2.55 6.51377e-05
0.15 2.6 1.37458e-05
0.15 2.65 7.43942e-06
0.15 2.7 0.000178982
0.15 2.75 0.00014364
0.15 2.8 1.00169e-05
0.15 2.85 3.18069e-05
0.15 2.9 0.000325085
0.15 2.95 0.000446224
0.15 3 0.000183783
0.15 3.05 3.88605e-05
0.15 3.1 0.000166394
0.15 3.15 0.000231842
0.15 3.2 0.000474313
0.15 3.25 0.000494501
0.15 3.3 0.000210257
0.15 3.35 6.66102e-05
0.15 3.4 0.000296266
0.15 3.45 0.000113189
0.15 3.5 0.000248495
0.15 3.55 3.39013e-07
0.15 3.6 0.000244541
0.15 3.65 0.000367913
0.15 3.7 0.000285914
0.15 3.75 0.000315778
0.15 3.8 5.66749e-05
0.15 3.85 3.11927e-05
0.15 3.9 0.000324632
0.15 3.95 0.000170021
0.15 4 3.86051e-05
0.15 4.05 4.72259e-05
0.15 4.1 3.14874e-06
0.15 4.15 1.00599e-05
0.15 4.2 1.58237e-05
0.15 4.25 2.28412e-05
0.15 4.3 7.35121e-06
0.15 4.35 1.25249e-05
0.15 4.4 2.36561e-06
0.15 4.45 2.23438e-06
0.15 4.5 1.30918e-05
0.15 4.55 5.58159e-06
0.15 4.6 9.83047e-06
0.15 4.65 9.26032e-07
0.15 4.7 9.33557e-07
0.15 4.75 1.68532e-05
0.15 4.8 2.04952e-05
0.15 4.85 1.2746e-05
0.15 4.9 8.17732e-06
0.15 4.95 3.20785e-06
0.15 5 5.22699e-06
0.155 0 0.000168834
0.155 0.05 0.000189803
0.155 0.1 0.000212369
0.155 0.15 0.000250761
0.155 0.2 0.000286262
0.155 0.25 0.000347922
0.155 0.3 0.00041053
0.155 0.35 0.000507975
0.155 0.4 0.000637877
0.155 0.45 0.000820243
0.155 0.5 0.00111964
0.155 0.55 0.00157485
0.155 0.6 0.0023516
0.155 0.65 0.00360299
0.155 0.7 0.00531418
0.155 0.75 0.00685217
0.155 0.8 0.00777334
0.155 0.85 0.00797155
0.155 0.9 0.0068612
0.155 0.95 0.00481061
0.155 1 0.00309722
0.155 1.05 0.00194922
0.155 1.1 0.00133724
0.155 1.15 0.00106307
0.155 1.2 0.000687953
0.155 1.25 0.000473306
0.155 1.3 0.00052018
0.155 1.35 0.000438233
0.155 1.4 0.000369049
0.155 1.45 0.00032797
0.155 1.5 0.000280754
0.155 1.55 0.000241289
0.155 1.6 0.000163045
0.155 1.65 0.000123799
0.155 1.7 9.94675e-05
0.155 1.75 0.000199139
0.155 1.8 0.000130177
0.155 1.85 4.39307e-05
0.155 1.9 0.000133161
0.155 1.95 0.000138953
0.155 2 0.000243013
0.155 2.05 2.08346e-05
0.155 2.1 0.00016172
0.155 2.15 0.000229933
0.155 2.2 1.30237e-05
0.155 2.25 0.000103169
0.155 2.3 8.63803e-05
0.155 2.35 0.00012278
0.155 2.4 0.000227924
0.155 2.45 0.000128878
0.155 2.5 5.19284e-05
0.155 2.55 7.13259e-05
0.155 2.6 1.38139e-05
0.155 2.65 4.13321e-05
0.155 2.7 0.000158256
0.155 2.75 0.000100096
0.155 2.8 8.60441e-05
0.155 2.85 3.60945e-05
0.155 2.9 0.000376135
0.155 2.95 0.000353262
0.155 3 0.000198907
0.155 3.05 7.05724e-05
0.155 3.1 0.000138155
0.155 3.15 0.000232652
0.155 3.2 0.000427246
0.155 3.25 0.000486903
0.155 3.3 0.000176276
0.155 3.35 0.000120954
0.155 3.4 0.000224074
0.155 3.45 0.000185671
0.155 3.5 0.000212096
0.155 3.55 7.15716e-05
0.155 3.6 0.000255615
0.155 3.65 0.00040778
0.155 3.7 0.000298577
0.155 3.75 0.000340742
0.155 3.8 1.25121e-05
0.155 3.85 2.74416e-05
0.155 3.9 0.000317086
0.155 3.95 0.000167918
0.155 4 5.42359e-05
0.155 4.05 5.57364e-05
0.155 4.1 1.72511e-06
0.155 4.15 6.31995e-06
0.155 4.2 1.92451e-05
0.155 4.25 8.56366e-06
0.155 4.3 1.13132e-05
0.155 4.35 6.01545e-06
0.155 4.4 1.984e-06
0.155 4.45 7.21044e-06
0.155 4.5 1.94513e-05
0.155 4.55 8.61077e-06
0.155 4.6 8.35504e-06
0.155 4.65 2.29367e-06
0.155 4.7 1.09245e-07
0.155 4.75 1.29325e-05
0.155 4.8 8.54801e-06
0.155 4.85 6.95539e-06
0.155 4.9 1.20065e-05
0.155 4.95 4.02971e-06
0.155 5 3.42772e-06
0.16 0 0.000170174
0.16 0.05 0.000188235
0.16 0.1 0.000210254
0.16 0.15 0.000240541
0.16 0.2 0.000279151
0.16 0.25 0.000328425
0.16 0.3 0.000391097
0.16 0.35 0.000474594
0.16 0.4 0.000588479
0.16 0.45 0.00075417
0.16 0.5 0.000999458
0.16 0.55 0.00138683
0.16 0.6 0.00200454
0.16 0.65 0.00306626
0.16 0.7 0.00464188
0.16 0.75 0.00626561
0.16 0.8 0.00744523
0.16 0.85 0.00803859
0.16 0.9 0.00771247
0.16 0.95 0.00612137
0.16 1 0.00414892
0.16 1.05 0.00257435
0.16 1.1 0.00169129
0.16 1.15 0.00130672
0.16 1.2 0.000834287
0.16 1.25 0.00059661
0.16 1.3 0.000591896
0.16 1.35 0.000509889
0.16 1.4 0.000383661
0.16 1.45 0.000360989
0.16 1.5 0.0003163
0.16 1.55 0.000249065
0.16 1.6 0.000181383
0.16 1.65 0.000156401
0.16 1.7 0.000107828
0.16 1.75 0.000214943
0.16 1.8 0.00014085
0.16 1.85 7.12497e-05
0.16 1.9 8.60857e-05
0.16 1.95 0.000141171
0.16 2 0.000244133
0.16 2.05 1.01515e-05
0.16 2.1 0.000177205
0.16 2.15 0.000238795
0.16 2.2 4.10747e-05
0.16 2.25 9.94139e-05
0.16 2.3 8.19767e-05
0.16 2.35 7.5515e-05
0.16 2.4 0.000221913
0.16 2.45 0.000165359
0.16 2.5 2.65399e-05
0.16 2.55 0.000100908
0.16 2.6 6.26076e-05
0.16 2.65 6.63453e-05
0.16 2.7 0.000137585
0.16 2.75 5.25344e-05
0.16 2.8 0.00011468
0.16 2.85 5.79794e-06
0.16 2.9 0.000380675
0.16 2.95 0.000302949
0.16 3 0.000216233
0.16 3.05 9.87545e-05
0.16 3.1 9.54365e-05
0.16 3.15 0.000175309
0.16 3.2 0.00038027
0.16 3.25 0.000409923
0.16 3.3 0.000155718
0.16 3.35 0.00013535
0.16 3.4 0.00017641
0.16 3.45 0.000180974
0.16 3.5 0.000157559
0.16 3.55 0.000156517
0.16 3.6 0.000243719
0.16 3.65 0.000431331
0.16 3.7 0.000311704
0.16 3.75 0.000355013
0.16 3.8 3.05937e-05
0.16 3.85 1.96539e-05
0.16 3.9 0.000330291
0.16 3.95 0.000190703
0.16 4 5.30971e-05
0.16 4.05 6.01341e-05
0.16 4.1 1.48637e-06
0.16 4.15 2.10839e-06
0.16 4.2 1.94793e-05
0.16 4.25 1.53895e-06
0.16 4.3 1.43653e-05
0.16 4.35 7.64888e-07
0.16 4.4 1.36213e-06
0.16 4.45 6.65329e-06
0.16 4.5 1.95293e-05
0.16 4.55 1.09017e-05
0.16 4.6 1.61364e-05
0.16 4.65 5.89429e-07
0.16 4.7 4.79149e-06
0.16 4.75 7.59165e-06
0.16 4.8 5.05413e-06
0.16 4.85 4.18928e-06
0.16 4.9 1.37978e-05
0.16 4.95 1.29336e-05
0.16 5 7.59496e-06
0.165 0 0.000149737
0.165 0.05 0.000169736
0.165 0.1 0.000198236
0.165 0.15 0.000224691
0.165 0.2 0.000269097
0.165 0.25 0.000307842
0.165 0.3 0.000372052
0.165 0.35 0.000444556
0.165 0.4 0.000546147
0.165 0.45 0.000697144
0.165 0.5 0.000898412
0.165 0.55 0.00123198
0.165 0.6 0.0017356
0.165 0.65 0.00262359
0.165 0.7 0.00402189
0.165 0.75 0.00564807
0.165 0.8 0.00699566
0.165 0.85 0.00783176
0.165 0.9 0.00807112
0.165 0.95 0.00722269
0.165 1 0.00540802
0.165 1.05 0.0034261
0.165 1.1 0.00219197
0.165 1.15 0.00160194
0.165 1.2 0.00105513
0.165 1.25 0.000747031
0.165 1.3 0.000653114
0.165 1.35 0.000588712
0.165 1.4 0.000406034
0.165 1.45 0.000387175
0.165 1.5 0.000359112
0.165 1.55 0.000255033
0.165 1.6 0.000188553
0.165 1.65 0.000189697
0.165 1.7 0.000129675
0.165 1.75 0.000247106
0.165 1.8 0.000156823
0.165 1.85 0.000101378
0.165 1.9 5.58828e-05
0.165 1.95 0.000144652
0.165 2 0.000248733
0.165 2.05 1.34076e-06
0.165 2.1 0.00019807
0.165 2.15 0.00023309
0.165 2.2 9.05541e-05
0.165 2.25 8.6651e-05
0.165 2.3 7.58552e-05
0.165 2.35 4.7613e-05
0.165 2.4 0.000160535
0.165 2.45 0.000209628
0.165 2.5 0.000114055
0.165 2.55 0.000157996
0.165 2.6 8.05507e-05
0.165 2.65 6.57153e-05
0.165 2.7 0.00011405
0.165 2.75 4.14839e-05
0.165 2.8 0.000139135
0.165 2.85 7.69066e-05
0.165 2.9 0.000316024
0.165 2.95 0.000284186
0.165 3 0.000210628
0.165 3.05 0.000138751
0.165 3.1 4.73571e-05
0.165 3.15 0.000120797
0.165 3.2 0.00033007
0.165 3.25 0.000299264
0.165 3.3 0.000119129
0.165 3.35 0.000131707
0.165 3.4 0.000121765
0.165 3.45 0.000155061
0.165 3.5 0.000122079
0.165 3.55 0.000183359
0.165 3.6 0.000214299
0.165 3.65 0.000420262
0.165 3.7 0.000319597
0.165 3.75 0.000344937
0.165 3.8 6.57155e-05
0.165 3.85 8.62704e-05
0.165 3.9 0.000364829
0.165 3.95 0.000189762
0.165 4 6.11871e-05
0.165 4.05 6.52626e-05
0.165 4.1 9.46564e-07
0.165 4.15 1.80935e-06
0.165 4.2 1.18244e-05
0.165 4.25 6.97951e-06
0.165 4.3 1.50969e-05
0.165 4.35 2.98314e-06
0.165 4.4 7.22642e-06
0.165 4.45 3.08266e-06
0.165 4.5 1.36618e-05
0.165 4.55 9.24638e-06
0.165 4.6 2.07637e-05
0.165 4.65 2.85636e-06
0.165 4.7 9.2549e-06
0.165 4.75 7.41029e-06
0.165 4.8 1.34421e-05
0.165 4.85 8.37843e-06
0.165 4.9 7.81378e-06
0.165 4.95 1.47553e-05
0.165 5 8.76717e-06
0.17 0 0.000139671
0.17 0.05 0.000160355
0.17 0.1 0.000186836
0.17 0.15 0.000217136
0.17 0.2 0.000253439
0.17 0.25 0.000296274
0.17 0.3 0.000350015
0.17 0.35 0.000419454
0.17 0.4 0.000512795
0.17 0.45 0.000638851
0.17 0.5 0.000823299
0.17 0.55 0.00110112
0.17 0.6 0.00154359
0.17 0.65 0.0022604
0.17 0.7 0.00347543
0.17 0.75 0.00504324
0.17 0.8 0.00647494
0.17 0.85 0.00749075
0.17 0.9 0.00803262
0.17 0.95 0.00788834
0.17 1 0.00662728
0.17 1.05 0.00455397
0.17 1.1 0.00290009
0.17 1.15 0.00202328
0.17 1.2 0.00136419
0.17 1.25 0.000902536
0.17 1.3 0.000733897
0.17 1.35 0.000667139
0.17 1.4 0.000445566
0.17 1.45 0.000429295
0.17 1.5 0.0003991
0.17 1.55 0.000281112
0.17 1.6 0.000220576
0.17 1.65 0.000228921
0.17 1.7 0.000144816
0.17 1.75 0.000263101
0.17 1.8 0.000185693
0.17 1.85 0.000124201
0.17 1.9 7.26572e-05
0.17 1.95 0.000149267
0.17 2 0.000247331
0.17 2.05 3.35205e-05
0.17 2.1 0.00020988
0.17 2.15 0.000214116
0.17 2.2 0.000105141
0.17 2.25 7.40743e-05
0.17 2.3 6.46362e-05
0.17 2.35 4.284e-05
0.17 2.4 0.000121061
0.17 2.45 0.000247671
0.17 2.5 0.000194075
0.17 2.55 0.000202123
0.17 2.6 4.37841e-05
0.17 2.65 7.9132e-05
0.17 2.7 6.92001e-05
0.17 2.75 6.81221e-05
0.17 2.8 0.000200035
0.17 2.85 0.000121236
0.17 2.9 0.000252041
0.17 2.95 0.000235766
0.17 3 0.000191334
0.17 3.05 0.000172644
0.17 3.1 6.63895e-06
0.17 3.15 0.00011066
0.17 3.2 0.000275246
0.17 3.25 0.000217838
0.17 3.3 5.35271e-05
0.17 3.35 0.000131815
0.17 3.4 6.53993e-05
0.17 3.45 0.000208727
0.17 3.5 0.000121629
0.17 3.55 0.000165379
0.17 3.6 0.000201489
0.17 3.65 0.000408201
0.17 3.7 0.000310712
0.17 3.75 0.000326134
0.17 3.8 9.3127e-05
0.17 3.85 0.000105508
0.17 3.9 0.000370797
0.17 3.95 0.000157137
0.17 4 8.13185e-05
0.17 4.05 7.11483e-05
0.17 4.1 4.52836e-06
0.17 4.15 3.26336e-06
0.17 4.2 2.82749e-06
0.17 4.25 9.54938e-06
0.17 4.3 1.71949e-05
0.17 4.35 1.2712e-06
0.17 4.4 8.9314e-06
0.17 4.45 2.70871e-06
0.17 4.5 1.31061e-05
0.17 4.55 5.95269e-06
0.17 4.6 1.40973e-05
0.17 4.65 3.12414e-07
0.17 4.7 8.64221e-06
0.17 4.75 1.15716e-05
0.17 4.8 1.76962e-05
0.17 4.85 1.44289e-05
0.17 4.9 2.13195e-06
0.17 4.95 1.05308e-05
0.17 5 5.2495e-06
0.175 0 0.000151886
0.175 0.05 0.000168645
0.175 0.1 0.00018635
0.175 0.15 0.000216651
0.175 0.2 0.000242678
0.175 0.25 0.000288813
0.175 0.3 0.000332047
0.175 0.35 0.000397614
0.175 0.4 0.00048352
0.175 0.45 0.000588986
0.175 0.5 0.000760327
0.175 0.55 0.000992957
0.175 0.6 0.00137982
0.175 0.65 0.0019654
0.175 0.7 0.00300186
0.175 0.75 0.00445952
0.175 0.8 0.00593474
0.175 0.85 0.00706368
0.175 0.9 0.00778999
0.175 0.95 0.00810974
0.175 1 0.00753122
0.175 1.05 0.00585753
0.175 1.1 0.00387932
0.175 1.15 0.00263167
0.175 1.2 0.00177116
0.175 1.25 0.00111009
0.175 1.3 0.000861739
0.175 1.35 0.000765124
0.175 1.4 0.00049242
0.175 1.45 0.000495257
0.175 1.5 0.00043387
0.175 1.55 0.000330063
0.175 1.6 0.00027479
0.175 1.65 0.000275036
0.175 1.7 0.000151728
0.175 1.75 0.000265092
0.175 1.8 0.000231402
0.175 1.85 0.00013543
0.175 1.9 0.000103203
0.175 1.95 0.000156209
0.175 2 0.000235259
0.175 2.05 8.03027e-05
0.175 2.1 0.000210263
0.175 2.15 0.000187435
0.175 2.2 9.85442e-05
0.175 2.25 6.53091e-05
0.175 2.3 5.1029e-05
0.175 2.35 4.48279e-05
0.175 2.4 0.000144314
0.175 2.45 0.000265867
0.175 2.5 0.000239823
0.175 2.55 0.000212833
0.175 2.6 3.363e-06
0.175 2.65 0.000122394
0.175 2.7 1.0502e-05
0.175 2.75 8.54814e-05
0.175 2.8 0.000270004
0.175 2.85 0.000143768
0.175 2.9 0.000229591
0.175 2.95 0.000186701
0.175 3 0.000189307
0.175 3.05 0.000179501
0.175 3.1 2.76167e-05
0.175 3.15 9.5779e-05
0.175 3.2 0.000219979
0.175 3.25 0.000162115
0.175 3.3 1.9839e-05
0.175 3.35 0.000129194
0.175 3.4 3.38568e-05
0.175 3.45 0.000308765
0.175 3.5 0.000129953
0.175 3.55 0.000179269
0.175 3.6 0.000208376
0.175 3.65 0.000429253
0.175 3.7 0.000284586
0.175 3.75 0.000317441
0.175 3.8 0.000111819
0.175 3.85 8.49415e-05
0.175 3.9 0.000345194
0.175 3.95 0.000140175
0.175 4 8.63967e-05
0.175 4.05 7.39795e-05
0.175 4.1 5.30539e-06
0.175 4.15 1.84015e-06
0.175 4.2 3.08268e-07
0.175 4.25 1.08356e-06
0.175 4.3 1.93841e-05
0.175 4.35 2.73763e-07
0.175 4.4 2.58046e-06
0.175 4.45 4.80218e-06
0.175 4.5 2.09347e-05
0.175 4.55 5.00497e-06
0.175 4.6 8.02534e-06
0.175 4.65 7.52176e-06
0.175 4.7 6.13808e-06
0.175 4.75 1.29077e-05
0.175 4.8 1.0727e-05
0.175 4.85 1.46517e-05
0.175 4.9 4.00012e-06
0.175 4.95 8.48035e-06
0.175 5 5.60734e-06
0.18 0 0.000155342
0.18 0.05 0.000169446
0.18 0.1 0.000186463
0.18 0.15 0.000209741
0.18 0.2 0.000239001
0.18 0.25 0.000275511
0.18 0.3 0.000320535
0.18 0.35 0.000376827
0.18 0.4 0.000453732
0.18 0.45 0.000554511
0.18 0.5 0.000697602
0.18 0.55 0.000904915
0.18 0.6 0.0012213
0.18 0.65 0.00172645
0.18 0.7 0.00259618
0.18 0.75 0.00390454
0.18 0.8 0.00540051
0.18 0.85 0.00658336
0.18 0.9 0.00746179
0.18 0.95 0.00802647
0.18 1 0.00799401
0.18 1.05 0.0070366
0.18 1.1 0.00510765
0.18 1.15 0.00344693
0.18 1.2 0.00229307
0.18 1.25 0.0014391
0.18 1.3 0.00102877
0.18 1.35 0.000903759
0.18 1.4 0.000541405
0.18 1.45 0.000570293
0.18 1.5 0.000480437
0.18 1.55 0.000388377
0.18 1.6 0.000311445
0.18 1.65 0.000319935
0.18 1.7 0.000169481
0.18 1.75 0.000276645
0.18 1.8 0.000285034
0.18 1.85 0.000148974
0.18 1.9 0.000117638
0.18 1.95 0.000165155
0.18 2 0.000226699
0.18 2.05 0.000123965
0.18 2.1 0.000207921
0.18 2.15 0.000154686
0.18 2.2 9.8401e-05
0.18 2.25 5.43404e-05
0.18 2.3 4.50125e-05
0.18 2.35 4.73978e-05
0.18 2.4 0.000169646
0.18 2.45 0.000258687
0.18 2.5 0.000241372
0.18 2.55 0.00021162
0.18 2.6 2.69624e-05
0.18 2.65 0.000155924
0.18 2.7 2.3304e-05
0.18 2.75 7.14002e-05
0.18 2.8 0.000307763
0.18 2.85 0.000183478
0.18 2.9 0.000200581
0.18 2.95 0.000209957
0.18 3 0.00020306
0.18 3.05 0.000174342
0.18 3.1 6.24997e-05
0.18 3.15 4.17527e-05
0.18 3.2 0.00017066
0.18 3.25 8.11903e-05
0.18 3.3 7.46687e-05
0.18 3.35 0.000114082
0.18 3.4 1.83438e-05
0.18 3.45 0.000349394
0.18 3.5 0.000121989
0.18 3.55 0.0002463
0.18 3.6 0.000206313
0.18 3.65 0.000457883
0.18 3.7 0.000252492
0.18 3.75 0.000309706
0.18 3.8 0.000121469
0.18 3.85 9.62261e-05
0.18 3.9 0.000339912
0.18 3.95 0.000154765
0.18 4 7.11323e-05
0.18 4.05 7.41426e-05
0.18 4.1 2.56367e-06
0.18 4.15 7.35308e-07
0.18 4.2 5.01332e-07
0.18 4.25 6.0252e-06
0.18 4.3 1.5835e-05
0.18 4.35 8.98826e-08
0.18 4.4 6.10697e-06
0.18 4.45 3.50432e-06
0.18 4.5 2.58863e-05
0.18 4.55 5.94015e-06
0.18 4.6 1.34709e-05
0.18 4.65 1.17473e-05
0.18 4.7 9.12142e-06
0.18 4.75 8.69047e-06
0.18 4.8 5.79945e-06
0.18 4.85 1.08253e-05
0.18 4.9 6.70579e-06
0.18 4.95 1.04284e-05
0.18 5 1.09879e-05
0.185 0 0.000136937
0.185 0.05 0.000153197
0.185 0.1 0.000176476
0.185 0.15 0.00019687
0.185 0.2 0.000232036
0.185 0.25 0.000260351
0.185 0.3 0.000308242
0.185 0.35 0.000357897
0.185 0.4 0.000426576
0.185 0.45 0.000524
0.185 0.5 0.000643596
0.185 0.55 0.000829216
0.185 0.6 0.00109577
0.185 0.65 0.00153063
0.185 0.7 0.00225826
0.185 0.75 0.00341004
0.185 0.8 0.0048675
0.185 0.85 0.00609804
0.185 0.9 0.00707382
0.185 0.95 0.00778266
0.185 1 0.00808453
0.185 1.05 0.00779625
0.185 1.1 0.00638727
0.185 1.15 0.00448643
0.185 1.2 0.00296778
0.185 1.25 0.0019013
0.185 1.3 0.00123331
0.185 1.35 0.00107899
0.185 1.4 0.000617328
0.185 1.45 0.000650604
0.185 1.5 0.000548917
0.185 1.55 0.000450032
0.185 1.6 0.000320126
0.185 1.65 0.00036023
0.185 1.7 0.000201995
0.185 1.75 0.000295328
0.185 1.8 0.000336598
0.185 1.85 0.00017229
0.185 1.9 0.000138611
0.185 1.95 0.000168104
0.185 2 0.000234685
0.185 2.05 0.000162666
0.185 2.1 0.000206862
0.185 2.15 0.000115912
0.185 2.2 9.92335e-05
0.185 2.25 4.31498e-05
0.185 2.3 4.78703e-05
0.185 2.35 6.58377e-05
0.185 2.4 0.000142259
0.185 2.45 0.000234189
0.185 2.5 0.000214671
0.185 2.55 0.000215711
0.185 2.6 4.98534e-05
0.185 2.65 0.000154038
0.185 2.7 1.38673e-05
0.185 2.75 5.96743e-05
0.185 2.8 0.000329685
0.185 2.85 0.000218646
0.185 2.9 0.000132426
0.185 2.95 0.000272129
0.185 3 0.000204713
0.185 3.05 0.000186477
0.185 3.1 9.42397e-05
0.185 3.15 4.41521e-06
0.185 3.2 0.000133121
0.185 3.25 2.58332e-05
0.185 3.3 0.000107477
0.185 3.35 9.63114e-05
0.185 3.4 1.61884e-05
0.185 3.45 0.000335606
0.185 3.5 0.000105738
0.185 3.55 0.000307087
0.185 3.6 0.000190503
0.185 3.65 0.000446461
0.185 3.7 0.000223042
0.185 3.75 0.000283337
0.185 3.8 0.000131869
0.185 3.85 0.000147885
0.185 3.9 0.000359589
0.185 3.95 0.00015241
0.185 4 7.06105e-05
0.185 4.05 7.3298e-05
0.185 4.1 1.10856e-06
0.185 4.15 1.13199e-06
0.185 4.2 5.16905e-06
0.185 4.25 1.34402e-06
0.185 4.3 8.29636e-06
0.185 4.35 4.06751e-07
0.185 4.4 9.07141e-06
0.185 4.45 1.07679e-06
0.185 4.5 2.0818e-05
0.185 4.55 5.03979e-06
0.185 4.6 2.06354e-05
0.185 4.65 9.41743e-06
0.185 4.7 1.76741e-05
0.185 4.75 4.52023e-06
0.185 4.8 1.21188e-05
0.185 4.85 1.12885e-05
0.185 4.9 3.18278e-06
0.185 4.95 1.07265e-05
0.185 5 1.08997e-05
0.19 0 0.00012662
0.19 0.05 0.000144107
0.19 0.1 0.000166309
0.19 0.15 0.000190882
0.19 0.2 0.000219641
0.19 0.25 0.000252568
0.19 0.3 0.000292609
0.19 0.35 0.00034217
0.19 0.4 0.000405999
0.19 0.45 0.000488802
0.19 0.5 0.000605442
0.19 0.55 0.000761871
0.19 0.6 0.00101346
0.19 0.65 0.00137053
0.19 0.7 0.00198473
0.19 0.75 0.00299676
0.19 0.8 0.00434203
0.19 0.85 0.00563313
0.19 0.9 0.00664736
0.19 0.95 0.00746072
0.19 1 0.00795655
0.19 1.05 0.00808452
0.19 1.1 0.00740772
0.19 1.15 0.00570855
0.19 1.2 0.003854
0.19 1.25 0.00248205
0.19 1.3 0.00152639
0.19 1.35 0.00128698
0.19 1.4 0.000757861
0.19 1.45 0.000752604
0.19 1.5 0.000626553
0.19 1.55 0.000516848
0.19 1.6 0.000341165
0.19 1.65 0.000404316
0.19 1.7 0.000230738
0.19 1.75 0.000300791
0.19 1.8 0.000385937
0.19 1.85 0.000189637
0.19 1.9 0.000186896
0.19 1.95 0.000161795
0.19 2 0.00024767
0.19 2.05 0.000200429
0.19 2.1 0.000201417
0.19 2.15 7.20331e-05
0.19 2.2 7.77624e-05
0.19 2.25 4.59057e-05
0.19 2.3 4.78695e-05
0.19 2.35 0.000103384
0.19 2.4 9.80394e-05
0.19 2.45 0.000207546
0.19 2.5 0.000174856
0.19 2.55 0.000215147
0.19 2.6 8.22901e-05
0.19 2.65 0.000144113
0.19 2.7 7.48579e-06
0.19 2.75 7.25674e-05
0.19 2.8 0.000369958
0.19 2.85 0.000197244
0.19 2.9 8.11648e-05
0.19 2.95 0.000270369
0.19 3 0.000194523
0.19 3.05 0.00021279
0.19 3.1 0.000112767
0.19 3.15 2.44154e-05
0.19 3.2 0.000107818
0.19 3.25 0.000103954
0.19 3.3 0.000126422
0.19 3.35 8.21436e-05
0.19 3.4 6.64158e-05
0.19 3.45 0.000357595
0.19 3.5 9.83869e-05
0.19 3.55 0.000318027
0.19 3.6 0.000186846
0.19 3.65 0.000403288
0.19 3.7 0.000196229
0.19 3.75 0.00024316
0.19 3.8 0.000154171
0.19 3.85 0.000165292
0.19 3.9 0.000345056
0.19 3.95 0.000102582
0.19 4 0.00010537
0.19 4.05 6.82357e-05
0.19 4.1 4.32425e-06
0.19 4.15 6.78453e-06
0.19 4.2 1.35929e-05
0.19 4.25 6.66812e-06
0.19 4.3 6.35984e-06
0.19 4.35 1.74805e-06
0.19 4.4 6.77459e-06
0.19 4.45 1.7518e-06
0.19 4.5 1.45503e-05
0.19 4.55 1.15551e-06
0.19 4.6 1.6128e-05
0.19 4.65 7.98148e-06
0.19 4.7 2.26812e-05
0.19 4.75 5.88101e-06
0.19 4.8 1.85566e-05
0.19 4.85 1.67736e-05
0.19 4.9 3.23415e-07
0.19 4.95 7.77826e-06
0.19 5 2.3288e-06
0.195 0 0.000138532
0.195 0.05 0.000152533
0.195 0.1 0.000166877
0.195 0.15 0.000191769
0.195 0.2 0.000211774
